City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,susangerd,31.5608,48.1831,11.55,56,0,1.33,I,1675829494
132,ribeira grande,38.5167,-28.7,12.65,65,45,3.13,P,1675829494
133,hilo,19.7297,-155.09,24.04,91,100,3.09,U,1675829495
134,mar del plata,-38.0023,-57.5575,23.38,94,5,7.15,A,1675829209
135,chiungutwa,-10.8833,38.9833,21.87,97,100,1.19,T,1675829496
136,zabol,32.25,67.25,1.96,70,100,3.32,A,1675829496
137,fairbanks,64.8378,-147.7164,-14.0,81,100,1.54,U,1675829432
138,massaguet,12.4755,15.4365,21.19,20,100,6.13,T,1675829497
139,ostrovnoy,68.0531,39.5131,-1.61,79,10,8.9,R,1675829455
140,upernavik,72.7868,-56.1549,-30.59,95,47,1.81,G,1675829280
141,codrington,-38.2667,141.9667,19.23,59,63,6.44,A,1675829497
142,torbay,47.6666,-52.7314,-2.56,87,100,8.94,C,1675829498
143,deniliquin,-35.5333,144.9667,32.99,21,0,2.05,A,1675829498
144,ahipara,-35.1667,173.1667,21.85,59,22,4.04,N,1675829499
145,olafsvik,64.8945,-23.7142,-2.34,56,100,13.21,I,1675829499
146,saint-augustin,51.226,-58.6502,-19.37,89,30,2.31,C,1675829499
147,starosubkhangulovo,53.1031,57.4423,-21.14,100,96,0.83,R,1675829500
148,zlobin,45.2924,14.6541,-3.45,56,0,8.23,H,1675829500
149,saldanha,-33.0117,17.9442,17.47,89,0,4.65,Z,1675829500
150,manokwari,-0.8667,134.0833,26.51,82,100,1.12,I,1675829501
151,dzhankoy,45.7167,34.4,-1.49,67,100,8.8,U,1675829501
152,isangel,-19.55,169.2667,27.5,76,94,1.18,V,1675829267
153,bondo,3.8146,23.6866,18.54,34,35,1.37,C,1675829502
154,eydhafushi,5.1033,73.0708,27.07,68,45,3.14,M,1675829502
155,chara,56.9064,118.2631,-19.22,72,82,1.29,R,1675829433
156,provideniya,64.3833,-173.3,-19.94,71,100,3.0,R,1675829271
157,airai,-8.9266,125.4092,20.94,80,82,1.58,T,1675829503
158,tasiilaq,65.6145,-37.6368,-17.91,42,0,9.77,G,1675829503
159,olinda,-8.0089,-34.8553,23.85,73,20,0.0,B,1675829359
160,bathsheba,13.2167,-59.5167,25.34,83,40,5.66,B,1675829504
161,broken hill,-31.95,141.4333,31.46,14,0,5.33,A,1675829504
162,ust-ilimsk,58.0006,102.6619,-10.91,92,100,2.41,R,1675829358
163,west fargo,46.875,-96.9004,-1.97,88,0,5.14,U,1675829504
164,independencia,-5.3964,-40.3086,21.85,56,91,0.89,B,1675829505
165,larap,14.299,122.6504,27.67,71,100,4.98,P,1675829505
166,innisfail,-17.5333,146.0333,28.11,88,100,4.91,A,1675829310
167,dodge city,37.7528,-100.0171,3.45,69,0,1.54,U,1675829212
168,cartagena,10.3997,-75.5144,25.79,78,0,3.09,C,1675829506
169,jeremie,18.65,-74.1167,24.86,76,16,4.05,H,1675829506
170,linda,39.1277,-121.5508,11.93,79,0,2.57,U,1675829507
171,new norfolk,-42.7826,147.0587,19.39,39,5,0.89,A,1675829507
172,lexington,37.9887,-84.4777,13.52,78,100,2.57,U,1675829493
173,labuhan,-6.8844,112.2051,25.55,87,100,2.96,I,1675829507
174,makurdi,7.7411,8.5121,24.31,18,18,2.32,N,1675829508
175,alice springs,-23.7,133.8833,34.75,31,40,6.69,A,1675829508
176,walvis bay,-22.9575,14.5053,18.94,89,43,1.02,N,1675829508
177,dingle,10.9995,122.6711,27.94,70,100,7.48,P,1675829509
